device_id,recorded_at,pressure_pa,battery_v,lat,lon,hdop,sat_count,fix_type,speed_mps,msg_type,event_type
can_001,2026-01-19T01:31:22Z,107262,3.85,15.60785,32.52807,3.7,6,2D,5.41,HEARTBEAT,
can_001,2026-01-19T01:32:58Z,103777,3.78,13.1828,30.20832,4.5,7,NO_FIX,3.42,HEARTBEAT,
can_001,2026-01-19T01:33:27Z,109276,3.98,14.19869,32.10459,1.4,14,3D,0.88,EVENT,REFILL
can_001,2026-01-19T01:33:48Z,102314,3.91,12.90518,33.89648,6.9,7,2D,11.84,HEARTBEAT,
can_001,2026-01-19T01:38:34Z,101325,4.18,15.49689,32.56786,1.4,10,3D,0.19,EVENT,DEPLETED
can_001,2026-01-19T01:41:49Z,104525,3.71,15.10678,33.59408,1.1,14,3D,0.23,EVENT,SERVICE_STOP
can_001,2026-01-19T01:45:01Z,105676,3.78,13.90392,35.49943,3.6,6,2D,6.97,HEARTBEAT,
can_001,2026-01-19T01:48:36Z,107955,3.94,15.62138,32.53732,5.5,6,2D,0.6,HEARTBEAT,
can_001,2026-01-19T01:50:31Z,106625,3.99,15.19172,31.79769,4.5,4,NO_FIX,7.34,HEARTBEAT,
can_001,2026-01-19T01:50:39Z,103298,4.01,12.31223,35.235,1.8,9,3D,7.81,HEARTBEAT,
can_001,2026-01-19T01:53:13Z,101325,3.66,12.86866,32.97533,1.2,10,3D,0.69,EVENT,DEPLETED
can_001,2026-01-19T01:54:48Z,106393,4.07,14.99319,34.99798,1.8,9,3D,4.5,HEARTBEAT,
can_001,2026-01-19T01:54:50Z,103605,3.69,15.39689,32.79771,4.7,7,NO_FIX,2.15,HEARTBEAT,
can_001,2026-01-19T01:55:19Z,101325,3.54,14.20082,32.0971,0.9,12,3D,0.34,EVENT,DEPLETED
can_001,2026-01-19T01:58:05Z,102031,3.66,12.86,32.97847,5.5,4,2D,0.18,HEARTBEAT,
can_001,2026-01-19T01:58:32Z,110669,3.69,12.50515,30.50802,1.1,14,3D,0.95,EVENT,REFILL
can_001,2026-01-19T01:59:11Z,111953,3.79,12.49774,30.49343,0.8,11,3D,0.39,EVENT,REFILL
can_001,2026-01-19T02:04:12Z,101325,3.84,14.7912,34.49148,0.9,13,3D,0.04,EVENT,DEPLETED
can_001,2026-01-19T02:05:18Z,101325,3.65,15.39601,32.7967,0.9,14,3D,0.16,EVENT,DEPLETED
can_001,2026-01-19T02:08:42Z,105602,4.1,14.19621,32.10846,0.8,14,3D,1.07,EVENT,SERVICE_STOP
can_001,2026-01-19T02:13:26Z,106483,4.03,12.85771,32.97548,1.8,9,3D,3.63,HEARTBEAT,
can_001,2026-01-19T02:14:19Z,110362,3.95,12.86882,32.98501,1.3,9,3D,0.27,EVENT,REFILL
can_001,2026-01-19T02:15:01Z,104617,3.96,13.20004,31.19673,5.5,6,2D,4.55,HEARTBEAT,
can_001,2026-01-19T02:15:02Z,105028,3.94,14.39975,33.52068,6.4,4,NO_FIX,5.13,HEARTBEAT,
can_001,2026-01-19T02:15:45Z,103875,4.15,15.20152,31.79674,7.9,7,NO_FIX,4.24,HEARTBEAT,
can_001,2026-01-19T02:16:48Z,105048,4.18,14.79669,34.50078,1.4,9,3D,0.88,EVENT,SERVICE_STOP
can_001,2026-01-19T02:18:50Z,103925,3.78,13.49375,33.99909,2.1,3,NO_FIX,11.41,HEARTBEAT,
can_001,2026-01-19T02:19:37Z,103244,3.73,14.20862,32.10821,5.4,5,NO_FIX,8.48,HEARTBEAT,
can_001,2026-01-19T02:21:15Z,111943,3.64,13.50568,33.9924,1.1,12,3D,1.47,EVENT,REFILL
can_001,2026-01-19T02:23:17Z,102628,3.67,13.49746,33.99308,0.9,10,3D,0.56,EVENT,SERVICE_STOP
can_001,2026-01-19T02:25:57Z,104252,4.14,12.86007,32.97544,4.8,7,NO_FIX,10.89,HEARTBEAT,
can_001,2026-01-19T02:27:12Z,103811,3.79,13.99641,30.99759,1.1,11,3D,1.11,EVENT,SERVICE_STOP
can_001,2026-01-19T02:27:41Z,102951,3.71,13.32636,32.75449,1.8,9,3D,4.67,HEARTBEAT,
can_001,2026-01-19T02:32:12Z,102091,3.75,14.19967,32.10562,1.3,10,3D,0.39,EVENT,SERVICE_STOP
can_001,2026-01-19T02:32:46Z,109202,3.9,13.49104,33.99798,1.4,14,3D,1.44,EVENT,REFILL
can_001,2026-01-19T02:34:28Z,105648,3.96,12.90137,33.89506,5.4,7,2D,3.22,HEARTBEAT,
can_001,2026-01-19T02:41:02Z,101325,3.83,13.69638,30.80228,1.5,12,3D,1.14,EVENT,DEPLETED
can_001,2026-01-19T02:41:44Z,107004,3.87,12.85895,32.97933,4.4,6,NO_FIX,0.27,HEARTBEAT,
can_001,2026-01-19T02:42:38Z,109591,4.12,14.49816,33.09951,0.8,11,3D,1.09,EVENT,REFILL
can_001,2026-01-19T02:47:40Z,110179,3.96,12.8934,33.89298,1.0,10,3D,1.09,EVENT,REFILL
can_001,2026-01-19T02:50:10Z,102338,3.62,15.19888,31.795,4.1,6,NO_FIX,1.69,HEARTBEAT,
can_001,2026-01-19T02:51:08Z,106756,3.81,15.39157,32.80317,4.1,5,2D,11.58,HEARTBEAT,
can_001,2026-01-19T02:53:33Z,101325,3.57,15.21371,30.97104,0.9,14,3D,1.01,EVENT,DEPLETED
can_001,2026-01-19T02:55:05Z,101325,3.74,14.20317,32.0921,1.3,14,3D,1.13,EVENT,DEPLETED
can_001,2026-01-19T02:56:09Z,106133,3.53,13.01215,32.24612,3.1,6,NO_FIX,3.09,HEARTBEAT,
can_001,2026-01-19T02:56:58Z,104668,4.04,14.79173,34.50631,5.7,5,NO_FIX,10.74,HEARTBEAT,
can_001,2026-01-19T02:59:07Z,103820,4.13,13.19971,31.20616,7.6,3,2D,3.84,HEARTBEAT,
can_001,2026-01-19T03:02:19Z,105677,3.52,15.80865,33.19524,4.0,7,2D,2.42,HEARTBEAT,
can_001,2026-01-19T03:02:47Z,111657,4.04,13.8991,35.50793,1.2,14,3D,0.08,EVENT,REFILL
can_001,2026-01-19T03:09:47Z,104686,4.03,15.40782,32.79296,1.8,9,3D,11.43,HEARTBEAT,
can_001,2026-01-19T03:10:12Z,111538,3.56,15.09736,33.60682,0.8,11,3D,0.9,EVENT,REFILL
can_001,2026-01-19T03:10:54Z,107413,3.56,15.10023,33.59188,4.3,5,NO_FIX,0.72,HEARTBEAT,
can_001,2026-01-19T03:15:07Z,111147,4.07,13.49101,34.00537,1.3,9,3D,1.01,EVENT,REFILL
can_001,2026-01-19T03:16:02Z,102942,3.86,13.17066,30.21173,7.6,3,2D,8.05,HEARTBEAT,
can_001,2026-01-19T03:16:44Z,110419,3.87,15.40733,32.80701,1.4,12,3D,0.77,EVENT,REFILL
can_001,2026-01-19T03:17:41Z,103625,3.63,12.86068,32.9842,1.8,9,3D,6.5,HEARTBEAT,
can_001,2026-01-19T03:19:56Z,103774,4.17,15.49733,35.26856,3.2,4,NO_FIX,6.68,HEARTBEAT,
can_001,2026-01-19T03:20:14Z,106200,3.95,15.79885,33.19424,1.5,14,3D,0.73,EVENT,SERVICE_STOP
can_001,2026-01-19T03:21:56Z,101515,3.66,15.09952,33.59594,1.8,9,3D,2.76,HEARTBEAT,
can_001,2026-01-19T03:25:04Z,104197,4.17,13.20058,31.20655,6.0,3,NO_FIX,4.36,HEARTBEAT,
can_001,2026-01-19T03:25:32Z,106082,4.13,14.8053,34.49477,7.1,7,2D,0.25,HEARTBEAT,
can_001,2026-01-19T03:31:06Z,106117,3.66,12.86,32.98947,1.8,9,3D,5.78,HEARTBEAT,
can_001,2026-01-19T03:31:35Z,102069,3.75,13.69966,30.80848,5.9,7,NO_FIX,10.61,HEARTBEAT,
can_001,2026-01-19T03:32:27Z,101325,3.99,12.49963,30.50602,1.5,11,3D,0.72,EVENT,DEPLETED
can_001,2026-01-19T03:32:57Z,102508,3.52,14.79872,34.50868,1.8,9,3D,1.34,HEARTBEAT,
can_001,2026-01-19T03:34:21Z,101325,4.16,15.49546,32.56031,1.0,9,3D,0.68,EVENT,DEPLETED
can_001,2026-01-19T03:37:26Z,107364,4.12,13.69244,32.14697,6.9,3,2D,8.88,HEARTBEAT,
can_001,2026-01-19T03:40:19Z,106507,4.07,13.49342,33.99776,3.7,7,2D,7.93,HEARTBEAT,
can_001,2026-01-19T03:43:00Z,104008,3.64,14.99666,35.00431,8.0,5,2D,9.63,HEARTBEAT,
can_001,2026-01-19T03:46:03Z,110325,4.05,13.99152,30.99905,1.5,13,3D,1.04,EVENT,REFILL
can_001,2026-01-19T03:46:56Z,111545,3.71,15.10783,33.60172,1.3,12,3D,0.94,EVENT,REFILL
can_001,2026-01-19T03:47:26Z,104188,3.97,13.49616,34.00872,4.2,7,2D,7.3,HEARTBEAT,
can_001,2026-01-19T03:51:29Z,101325,3.79,15.80891,33.19679,1.1,12,3D,0.89,EVENT,DEPLETED
can_001,2026-01-19T03:56:24Z,106796,3.52,13.17641,30.20758,6.1,7,2D,10.83,HEARTBEAT,
can_001,2026-01-19T03:57:58Z,109119,3.94,15.50548,32.5636,1.3,12,3D,0.76,EVENT,REFILL
can_001,2026-01-19T03:58:23Z,104439,3.98,15.79406,33.19907,1.8,9,3D,2.44,HEARTBEAT,
can_001,2026-01-19T04:01:18Z,103607,3.99,14.00751,30.99767,0.8,10,3D,0.28,EVENT,SERVICE_STOP
can_001,2026-01-19T04:02:59Z,107438,4.14,14.99726,34.99409,1.3,10,3D,1.32,EVENT,SERVICE_STOP
can_001,2026-01-19T04:04:02Z,104929,4.11,13.70791,30.79765,3.1,3,2D,7.17,HEARTBEAT,
can_001,2026-01-19T04:06:38Z,106384,4.14,13.19679,31.20086,3.7,5,2D,9.36,HEARTBEAT,
can_001,2026-01-19T04:06:56Z,104311,3.72,14.87622,30.59845,6.7,6,NO_FIX,0.86,HEARTBEAT,
can_001,2026-01-19T04:08:08Z,102337,3.53,12.50559,30.49267,4.8,3,NO_FIX,1.01,HEARTBEAT,
can_001,2026-01-19T04:08:53Z,101875,3.52,12.9009,33.90562,4.3,5,NO_FIX,0.83,HEARTBEAT,
can_001,2026-01-19T04:12:15Z,110891,4.01,14.99663,35.00262,1.3,10,3D,0.88,EVENT,REFILL
can_001,2026-01-19T04:13:23Z,102667,3.82,13.70241,30.79338,1.8,9,3D,10.19,HEARTBEAT,
can_001,2026-01-19T04:14:24Z,106128,3.89,12.89969,33.89784,7.5,6,NO_FIX,6.53,HEARTBEAT,
can_001,2026-01-19T04:14:32Z,106341,4.16,14.49975,33.1041,2.5,6,NO_FIX,11.9,HEARTBEAT,
can_001,2026-01-19T04:17:48Z,101887,4.01,14.99701,35.00886,0.8,14,3D,0.81,EVENT,SERVICE_STOP
can_001,2026-01-19T04:19:39Z,111937,3.91,12.85628,32.99255,1.3,10,3D,0.69,EVENT,REFILL
can_001,2026-01-19T04:20:17Z,101325,3.71,12.89155,33.89435,1.2,10,3D,0.34,EVENT,DEPLETED
can_001,2026-01-19T04:21:05Z,101500,3.87,14.00722,31.0043,1.8,9,3D,1.39,HEARTBEAT,
can_001,2026-01-19T04:26:11Z,101325,3.83,12.90756,33.9055,1.1,11,3D,0.63,EVENT,DEPLETED
can_001,2026-01-19T04:26:25Z,106815,3.91,15.80743,33.19415,1.8,9,3D,10.52,HEARTBEAT,
can_001,2026-01-19T04:29:27Z,106528,3.61,14.26871,32.2523,4.3,5,2D,10.04,HEARTBEAT,
can_001,2026-01-19T04:31:03Z,101325,4.1,12.89382,33.89874,1.3,12,3D,0.71,EVENT,DEPLETED
can_001,2026-01-19T04:36:42Z,111314,3.75,13.20053,31.20534,1.4,11,3D,0.26,EVENT,REFILL
can_001,2026-01-19T04:40:01Z,106967,3.6,13.17425,30.20442,1.8,9,3D,4.77,HEARTBEAT,
can_001,2026-01-19T04:44:31Z,101325,4.02,14.19504,32.10375,0.9,12,3D,1.3,EVENT,DEPLETED
can_001,2026-01-19T04:45:13Z,104116,3.8,15.19847,31.80538,1.8,9,3D,1.24,HEARTBEAT,
can_001,2026-01-19T04:46:22Z,106936,4.05,13.49795,34.00156,7.7,5,2D,9.36,HEARTBEAT,
can_001,2026-01-19T04:47:26Z,111219,3.97,13.50401,33.99728,1.0,9,3D,0.48,EVENT,REFILL
can_001,2026-01-19T04:47:57Z,104373,3.84,13.69351,30.8031,6.8,4,NO_FIX,6.48,HEARTBEAT,
can_001,2026-01-19T04:48:15Z,104970,4.04,15.00764,34.9989,0.8,13,3D,0.66,EVENT,SERVICE_STOP
can_001,2026-01-19T04:51:50Z,101739,3.85,13.70724,30.80216,1.5,11,3D,0.5,EVENT,SERVICE_STOP
can_001,2026-01-19T04:53:00Z,101325,3.9,15.79193,33.20788,0.8,14,3D,1.44,EVENT,DEPLETED
can_001,2026-01-19T04:55:40Z,105651,3.57,14.08173,31.92471,3.3,3,2D,5.1,HEARTBEAT,
can_001,2026-01-19T04:56:16Z,106636,4.15,15.8027,33.20091,1.8,9,3D,2.63,HEARTBEAT,
can_001,2026-01-19T04:58:37Z,109296,3.83,15.20856,31.79799,0.9,10,3D,0.3,EVENT,REFILL
can_001,2026-01-19T05:00:25Z,103049,3.59,14.40189,33.5186,2.0,7,2D,6.4,HEARTBEAT,
can_001,2026-01-19T05:04:56Z,110341,4.06,14.99502,35.00762,1.4,13,3D,0.5,EVENT,REFILL
can_001,2026-01-19T05:07:25Z,105664,3.97,13.17219,30.21021,2.7,6,NO_FIX,1.48,HEARTBEAT,
can_001,2026-01-19T05:07:42Z,102728,3.83,14.27499,33.82217,6.8,7,2D,2.66,HEARTBEAT,
can_001,2026-01-19T05:07:48Z,104150,4.06,15.20374,31.80151,1.8,9,3D,9.67,HEARTBEAT,
can_001,2026-01-19T05:09:38Z,107290,3.77,13.70533,30.80497,7.7,7,NO_FIX,5.55,HEARTBEAT,
can_001,2026-01-19T05:09:45Z,109175,4.06,15.09766,33.59615,1.4,12,3D,0.38,EVENT,REFILL
can_001,2026-01-19T05:11:09Z,109520,4.09,14.49395,33.09251,1.3,13,3D,0.69,EVENT,REFILL
can_001,2026-01-19T05:18:09Z,106515,3.67,13.49428,34.00347,1.8,9,3D,2.88,HEARTBEAT,
can_001,2026-01-19T05:28:54Z,101325,4.13,13.50581,33.99862,1.2,13,3D,0.79,EVENT,DEPLETED
can_001,2026-01-19T05:29:44Z,104253,3.8,12.90851,33.8966,2.0,6,2D,0.11,HEARTBEAT,
can_001,2026-01-19T05:29:58Z,107833,4.04,15.399,32.79944,1.8,9,3D,0.52,HEARTBEAT,
can_001,2026-01-19T05:35:33Z,107078,3.51,15.40598,32.80419,1.8,9,3D,4.05,HEARTBEAT,
can_001,2026-01-19T05:37:37Z,110938,4.06,12.58603,33.26082,1.0,10,3D,0.53,EVENT,REFILL
can_001,2026-01-19T05:40:37Z,102746,3.83,14.89435,33.83665,8.0,4,NO_FIX,11.21,HEARTBEAT,
can_001,2026-01-19T05:40:59Z,102076,3.64,12.49701,30.49822,1.3,10,3D,1.45,EVENT,SERVICE_STOP
can_001,2026-01-19T05:42:04Z,109889,3.65,12.5086,30.49535,1.5,12,3D,1.4,EVENT,REFILL
can_001,2026-01-19T05:43:07Z,103267,3.63,13.17793,30.21369,1.2,11,3D,1.32,EVENT,SERVICE_STOP
can_001,2026-01-19T05:44:00Z,107577,3.56,15.40475,32.80174,1.4,9,3D,1.27,EVENT,SERVICE_STOP
can_001,2026-01-19T05:47:50Z,101325,3.99,15.49997,32.5602,1.0,14,3D,0.72,EVENT,DEPLETED
can_001,2026-01-19T05:50:11Z,104088,3.63,14.80676,34.5081,6.9,5,2D,0.51,HEARTBEAT,
can_001,2026-01-19T05:55:08Z,104436,3.81,13.22999,34.17961,1.8,9,3D,3.53,HEARTBEAT,
can_001,2026-01-19T05:55:51Z,107510,4.19,15.19204,31.80364,5.9,6,NO_FIX,8.97,HEARTBEAT,
can_001,2026-01-19T05:56:09Z,106987,3.54,15.0418,33.60122,4.4,3,NO_FIX,0.45,HEARTBEAT,
can_001,2026-01-19T05:59:23Z,107633,3.94,14.49518,33.09298,5.4,7,NO_FIX,7.18,HEARTBEAT,
can_001,2026-01-19T05:59:43Z,106780,3.58,13.49631,33.99672,2.1,6,2D,2.26,HEARTBEAT,
can_001,2026-01-19T05:59:46Z,103669,3.97,13.69719,30.80076,4.8,4,NO_FIX,5.69,HEARTBEAT,
can_001,2026-01-19T06:00:24Z,101325,3.7,14.99233,35.0019,1.4,9,3D,1.3,EVENT,DEPLETED
can_001,2026-01-19T06:00:29Z,107913,3.81,13.99553,30.99635,1.2,13,3D,0.24,EVENT,SERVICE_STOP
can_001,2026-01-19T06:00:39Z,107170,3.68,15.19384,31.80218,1.2,9,3D,1.27,EVENT,SERVICE_STOP
can_001,2026-01-19T06:01:10Z,104520,4.05,14.20506,32.10761,1.8,9,3D,3.74,HEARTBEAT,
can_001,2026-01-19T06:03:30Z,101325,3.66,13.20067,31.19929,0.9,10,3D,1.29,EVENT,DEPLETED
can_001,2026-01-19T06:04:54Z,107551,3.76,13.69288,30.80607,1.8,9,3D,11.83,HEARTBEAT,
can_001,2026-01-19T06:05:04Z,101580,3.8,12.47662,33.44398,0.9,14,3D,0.59,EVENT,SERVICE_STOP
can_001,2026-01-19T06:06:13Z,107089,3.66,15.50667,32.56742,3.7,6,2D,6.2,HEARTBEAT,
can_001,2026-01-19T06:06:43Z,105697,3.97,12.8638,32.99175,6.9,7,NO_FIX,9.31,HEARTBEAT,
can_001,2026-01-19T06:07:03Z,101691,4.14,14.20873,32.09896,1.8,9,3D,5.45,HEARTBEAT,
can_001,2026-01-19T06:08:17Z,107401,3.63,15.19973,31.79322,1.8,9,3D,10.44,HEARTBEAT,
can_001,2026-01-19T06:10:20Z,102204,4.17,13.69115,30.7937,3.6,7,NO_FIX,5.25,HEARTBEAT,
can_001,2026-01-19T06:10:24Z,106567,4.19,15.19122,31.79369,1.3,14,3D,0.23,EVENT,SERVICE_STOP
can_001,2026-01-19T06:10:38Z,101325,4.09,15.25481,30.24803,1.4,11,3D,1.2,EVENT,DEPLETED
can_001,2026-01-19T06:11:08Z,109245,3.79,13.69464,30.7956,1.1,11,3D,0.43,EVENT,REFILL
can_001,2026-01-19T06:17:31Z,110433,3.5,13.89811,35.5054,1.3,13,3D,0.67,EVENT,REFILL
can_001,2026-01-19T06:17:46Z,105028,3.94,14.79603,34.49691,6.9,6,2D,5.27,HEARTBEAT,
can_001,2026-01-19T06:19:07Z,102670,3.95,13.90598,35.49713,2.1,6,2D,8.81,HEARTBEAT,
can_001,2026-01-19T06:19:25Z,109100,3.63,12.85452,32.9918,1.2,14,3D,0.52,EVENT,REFILL
can_001,2026-01-19T06:21:57Z,101789,4.05,13.16754,30.2053,4.9,5,2D,0.73,HEARTBEAT,
can_001,2026-01-19T06:25:12Z,109678,3.6,15.80124,33.19608,1.1,12,3D,0.07,EVENT,REFILL
can_001,2026-01-19T06:25:41Z,104264,3.92,12.86077,32.98322,6.8,3,2D,8.13,HEARTBEAT,
can_001,2026-01-19T06:26:30Z,107488,4.11,14.3933,33.51708,2.1,5,NO_FIX,1.35,HEARTBEAT,
can_001,2026-01-19T06:29:18Z,101325,4.06,15.60483,32.53458,0.8,12,3D,0.12,EVENT,DEPLETED
can_001,2026-01-19T06:29:35Z,111221,3.81,14.79569,34.50273,1.0,11,3D,0.19,EVENT,REFILL
can_001,2026-01-19T06:31:16Z,107180,3.86,14.80045,34.50437,1.4,9,3D,0.32,EVENT,SERVICE_STOP
can_001,2026-01-19T06:36:10Z,105314,4.18,15.00869,35.0053,1.8,9,3D,7.55,HEARTBEAT,
can_001,2026-01-19T06:36:39Z,106951,3.68,13.1935,31.20275,4.7,5,NO_FIX,7.57,HEARTBEAT,
can_001,2026-01-19T06:38:33Z,101325,3.78,15.19883,31.79209,1.3,13,3D,1.31,EVENT,DEPLETED
can_001,2026-01-19T06:40:57Z,102327,3.51,14.20428,32.10119,3.6,5,2D,11.7,HEARTBEAT,
can_001,2026-01-19T06:44:57Z,106674,3.64,13.17593,30.21426,1.8,9,3D,7.29,HEARTBEAT,
can_001,2026-01-19T06:48:42Z,101325,3.88,15.40581,32.80325,1.2,13,3D,0.56,EVENT,DEPLETED
can_001,2026-01-19T06:50:48Z,104141,3.88,15.09982,33.60074,1.3,9,3D,0.49,EVENT,SERVICE_STOP
can_001,2026-01-19T06:51:32Z,106911,3.87,14.40901,33.52243,3.5,3,NO_FIX,3.17,HEARTBEAT,
can_001,2026-01-19T06:53:15Z,101325,3.71,12.49466,30.49534,1.2,14,3D,0.11,EVENT,DEPLETED
can_001,2026-01-19T06:53:23Z,111021,3.7,12.50344,30.49147,1.3,11,3D,0.53,EVENT,REFILL
can_001,2026-01-19T06:54:57Z,104561,3.92,13.70545,30.80045,1.4,13,3D,0.64,EVENT,SERVICE_STOP
can_001,2026-01-19T06:57:59Z,104547,3.64,15.40664,32.79899,4.2,6,NO_FIX,2.39,HEARTBEAT,
can_001,2026-01-19T06:59:08Z,102782,3.87,15.2053,31.80494,7.1,4,2D,3.57,HEARTBEAT,
